update,step,steps_per_sec,rollout_sec,learn_sec,episodes,mean_x_pos,flag_rate,mean_coins,mean_game_reward,stall_rate,policy_loss,value_loss,entropy,approx_kl,clipfrac,explained_variance,wall_time
74,227328,531.2,3.77,2.01,44,615.2272727272727,0.0,0.6363636363636364,543.6136363636364,0.0,-0.00222,13.62166,1.11337,0.00418,0.04818,0.5645,437.5
75,230400,518.5,3.95,1.97,47,509.2340425531915,0.0,0.2978723404255319,440.3404255319149,0.0,-0.00315,14.30661,1.01926,0.0037,0.04565,0.65317,443.4
76,233472,548.0,3.7,1.91,49,557.8775510204082,0.0,0.5306122448979592,487.9387755102041,0.0,7e-05,12.23126,1.09685,0.00329,0.02783,0.61726,449.0
77,236544,531.2,3.83,1.95,55,506.3272727272727,0.0,0.2727272727272727,437.54545454545456,0.0,-0.00532,11.63243,1.18089,0.00606,0.06535,0.70057,454.8
78,239616,541.8,3.78,1.89,55,504.58181818181816,0.0,0.45454545454545453,435.8909090909091,0.0,-0.00242,10.54569,1.19334,0.00787,0.07959,0.62664,460.5
79,242688,540.9,3.7,1.98,45,516.9555555555555,0.0,0.4444444444444444,447.44444444444446,0.0,-0.00379,12.36441,1.17926,0.00795,0.0953,0.62655,466.1
80,245760,543.4,3.73,1.92,46,571.5,0.0,0.6086956521739131,500.5869565217391,0.0,-0.00125,11.87825,1.20135,0.00481,0.05754,0.71343,471.8
81,248832,516.3,3.86,2.09,44,530.5,0.0,0.5,459.47727272727275,0.0,-0.00428,9.68253,1.28727,0.00591,0.06885,0.59147,477.7
82,251904,554.2,3.6,1.94,41,506.5121951219512,0.0,0.24390243902439024,435.5121951219512,0.0,-0.00084,6.47008,1.28381,0.00409,0.04069,0.74477,483.3
83,254976,547.5,3.69,1.92,45,634.4666666666667,0.0,0.28888888888888886,561.8888888888889,0.0,0.0001,10.75355,1.23902,0.00263,0.02303,0.66145,488.9
84,258048,524.1,3.88,1.98,48,538.8333333333334,0.0,0.3958333333333333,469.6041666666667,0.0,-0.00206,9.90238,1.27617,0.00516,0.05949,0.63975,494.8
85,261120,534.7,3.77,1.97,51,507.6078431372549,0.0,0.37254901960784315,438.7450980392157,0.0,-0.00165,12.22083,1.24426,0.00651,0.08683,0.49127,500.5
86,264192,551.7,3.57,2.0,35,625.4571428571429,0.0,0.37142857142857144,551.8857142857142,0.0,-0.0006,8.65355,1.20903,0.00681,0.07088,0.74121,506.1
